Species Family,Species,ID,Date,Time,User,City,District,Place,Altitude,Latitude,Longitude,Description
絲蟌科,青紋絲蟌,77070,2021-04-18,09:18:00,Fenabi,高雄市,桃源區,寶山二集團櫻花公園,1480,23.05939781442779,120.73106646537781,
絲蟌科,青紋絲蟌,76880,2021-04-12,09:47:00,chiuchu29,桃園市,復興區,塔曼山登山口,1675,24.699663489518464,121.4276361465454,
絲蟌科,青紋絲蟌,76493,2021-04-02,10:15:00,熊光明,新竹縣,尖石鄉,萬里山園,0,,,
絲蟌科,青紋絲蟌,76193,2021-03-28,09:55:00,ying-o hsiung,桃園市,復興區,東眼山森林遊樂區,906,24.831323116365553,121.40990138053894,
絲蟌科,青紋絲蟌,76168,2021-03-26,10:30:00,lily,新竹縣,尖石鄉,李崠山休閒農莊,,,,
絲蟌科,青紋絲蟌,76044,2021-03-20,11:30:00,lj19990809,南投縣,國姓鄉,惠蓀林場,,,,
絲蟌科,青紋絲蟌,75987,2021-03-16,11:08:00,yosi,新竹縣,尖石鄉,萬里山園,0,,,
絲蟌科,青紋絲蟌,75987,2021-03-16,11:08:00,yosi,新竹縣,尖石鄉,萬里山園,0,,,
絲蟌科,青紋絲蟌,75562,2021-03-01,11:20:00,allenhu1999925,南投縣,仁愛鄉,惠蓀林場湯公碑林道,0,,,
絲蟌科,青紋絲蟌,75477,2021-02-21,10:38:00,skink,宜蘭縣,大同鄉,臺七甲2公里八重櫻花林(櫻緣青),400,24.586417169866404,121.50104284286498,
絲蟌科,青紋絲蟌,75482,2021-02-21,11:27:00,skink,宜蘭縣,大同鄉,北橫公路80.8公里,748,24.60683502963371,121.48862957954407,
絲蟌科,青紋絲蟌,72493,2020-11-22,11:30:00,吳登立,雲林縣,古坑鄉,石壁山區,1622,23.616835330927337,120.70571959018707,
絲蟌科,青紋絲蟌,72239,2020-11-15,14:03:00,skink,宜蘭縣,大同鄉,臺七甲2公里八重櫻花林(櫻緣青),400,24.586417169866404,121.50104284286498,
絲蟌科,青紋絲蟌,71204,2020-10-13,10:55:00,skink,南投縣,仁愛鄉,清境農場小瑞士花園,1717,24.04449463934911,121.15588545799255,
絲蟌科,青紋絲蟌,70439,2020-09-22,10:09:00,yosi,苗栗縣,泰安鄉,觀霧山椒魚生態中心,0,,,
絲蟌科,青紋絲蟌,71204,2020-10-13,10:55:00,skink,南投縣,仁愛鄉,清境農場小瑞士花園,1717,24.04449463934911,121.15588545799255,
絲蟌科,青紋絲蟌,70439,2020-09-22,10:09:00,yosi,苗栗縣,泰安鄉,觀霧山椒魚生態中心,0,,,
絲蟌科,青紋絲蟌,68582,2020-08-26,12:26:00,簡庭威,南投縣,竹山鎮,杉林溪森林生態渡假園區,1696,23.63680524474067,120.79283084339295,
絲蟌科,青紋絲蟌,68710,2020-08-26,12:04:00,skink,台中市,和平區,武陵農場高山植物園水生植物池,1971,24.38074632752969,121.30342841148375,
絲蟌科,青紋絲蟌,68189,2020-08-21,08:30:00,allenhu1999925,宜蘭縣,大同鄉,明池停車場,,,,
絲蟌科,青紋絲蟌,68359,2020-08-21,10:05:00,chiuchu29,南投縣,仁愛鄉,梅峰農場,2130,24.08908099795476,121.17387771606445,
絲蟌科,青紋絲蟌,67996,2020-08-13,11:00:00,allenhu1999925,宜蘭縣,南澳鄉,平元林道 9.5k水溝,0,,,
絲蟌科,青紋絲蟌,67634,2020-08-01,09:36:00,jung2177,台中市,和平區,福壽山農場藍茵湖,2546,24.222242081494684,121.24117970466614,
絲蟌科,青紋絲蟌,67641,2020-08-01,09:30:00,jung2177,台中市,和平區,福壽山農場天池收費站,,,,
絲蟌科,青紋絲蟌,66652,2020-07-19,09:16:00,skink,台中市,和平區,福壽山農場天池,2586,24.22057482932271,121.23754799365997,
絲蟌科,青紋絲蟌,66657,2020-07-19,10:59:00,skink,南投縣,仁愛鄉,福壽山農場藍茵湖,2543,24.22224305983301,121.24119311571121,
絲蟌科,青紋絲蟌,66644,2020-07-18,10:52:00,skink,南投縣,仁愛鄉,福壽山農場藍茵湖,2543,24.22224305983301,121.24119311571121,
絲蟌科,青紋絲蟌,66649,2020-07-18,17:39:00,skink,南投縣,仁愛鄉,福壽山農場藍茵湖,2543,24.22224305983301,121.24119311571121,
絲蟌科,青紋絲蟌,71413,2020-07-05,09:31:00,regina,南投縣,竹山鎮,杉林溪生態池,,,,
絲蟌科,青紋絲蟌,65417,2020-07-03,10:10:00,tasmanliu,高雄市,桃源區,天池,0,,,
絲蟌科,青紋絲蟌,64561,2020-06-21,10:00:00,Jasonlin,宜蘭縣,南澳鄉,林元平道6.2K,0,,,
絲蟌科,青紋絲蟌,64563,2020-06-21,09:00:00,Jasonlin,宜蘭縣,南澳鄉,平元林道15.5K,0,,,
絲蟌科,青紋絲蟌,71412,2020-06-13,10:45:00,regina,南投縣,竹山鎮,金柑樹山步道,,,,
絲蟌科,青紋絲蟌,63455,2020-05-31,10:00:00,macintosh,南投縣,仁愛鄉,奧萬大,1273,23.95315710235409,121.17982580390014,
絲蟌科,青紋絲蟌,63690,2020-05-30,11:56:00,skink,宜蘭縣,大同鄉,明池山莊停車場攔砂壩,1184,24.653643047412448,121.47023499011993,
絲蟌科,青紋絲蟌,63221,2020-05-16,11:00:00,macintosh,南投縣,仁愛鄉,奧萬大,1273,23.95315710235409,121.17982580390014,
絲蟌科,青紋絲蟌,62958,2020-05-10,10:34:00,skink,宜蘭縣,大同鄉,北橫公路80.8公里,748,24.60683502963371,121.48862957954407,
絲蟌科,青紋絲蟌,62979,2020-05-10,12:43:00,skink,宜蘭縣,大同鄉,明池山莊停車場攔砂壩,1184,24.653643047412448,121.47023499011993,
絲蟌科,青紋絲蟌,62564,2020-05-03,10:30:00,allenhu1999925,屏東縣,春日鄉,大漢林道,,,,
絲蟌科,青紋絲蟌,62568,2020-05-03,11:00:00,Leo,屏東縣,春日鄉,浸水營,1400,22.409664718959093,120.77733993530272,
絲蟌科,青紋絲蟌,71409,2020-05-01,11:00:00,regina,台中市,和平區,白毛山林道,,,,
絲蟌科,青紋絲蟌,62397,2020-04-27,10:30:00,skink,南投縣,鹿谷鄉,溪頭自然教育園區鳳凰樓旁山溝,1139,23.673587766655494,120.79774618148804,
絲蟌科,青紋絲蟌,62050,2020-04-18,12:00:00,Leo,南投縣,竹山鎮,杉林溪穿林棧道,1684,23.634941387207522,120.78981220722198,
絲蟌科,青紋絲蟌,62070,2020-04-17,09:00:00,chuntinglu,南投縣,仁愛鄉,綠生農場,718,24.00508149143891,121.08334779739378,
絲蟌科,青紋絲蟌,61626,2020-04-03,11:35:00,chuntinglu,南投縣,仁愛鄉,本部溪,848,23.994603910922454,121.06358528137207,
絲蟌科,青紋絲蟌,61379,2020-03-26,10:23:00,jung2177,台中市,和平區,福壽山農場天池,,,,
絲蟌科,青紋絲蟌,61308,2020-03-25,12:30:00,yosi,新竹縣,尖石鄉,萬里山園,0,,,
絲蟌科,青紋絲蟌,61484,2020-03-25,12:00:00,chuntinglu,南投縣,仁愛鄉,梅峰農逞,2136,24.087593208316513,121.1745697259903,
絲蟌科,青紋絲蟌,61276,2020-03-21,11:00:00,macintosh,南投縣,仁愛鄉,奧萬大,1273,23.95315710235409,121.17982580390014,
絲蟌科,青紋絲蟌,71405,2020-03-17,11:31:00,regina,南投縣,仁愛鄉,奧萬大生態池,,,,
絲蟌科,青紋絲蟌,61132,2020-03-16,12:27:00,yosi,新竹縣,尖石鄉,萬里山園,0,,,
絲蟌科,青紋絲蟌,60949,2020-03-08,14:00:00,Leo,南投縣,仁愛鄉,奧萬大楓林步道,1180,23.94744915042389,121.18488550186157,
絲蟌科,青紋絲蟌,60840,2020-03-01,11:20:00,Leo,台中市,和平區,德芙蘭步道,716,24.17631618564793,120.97185373306274,
絲蟌科,青紋絲蟌,60666,2020-02-23,10:54:00,cclin,桃園市,復興區,桃源仙谷,436,24.7833837862791,121.28213167190553,
絲蟌科,青紋絲蟌,60667,2020-02-23,13:12:00,skink,台中市,和平區,武陵農場武陵富野度假村沉砂池,1739,24.352848062104975,121.30924837580096,
絲蟌科,青紋絲蟌,60429,2020-02-15,13:25:00,skink,台中市,和平區,武陵農場武陵富野度假村沉砂池,1739,24.352848062104975,121.30924837580096,
絲蟌科,青紋絲蟌,60019,2020-02-05,11:03:00,王振芳,雲林縣,古坑鄉,草嶺石壁九芎神木,1268,23.61322758209258,120.72043418884277,
絲蟌科,青紋絲蟌,59765,2020-01-15,10:00:00,chuntinglu,南投縣,仁愛鄉,綠生農場,710,24.004718857909488,121.08366966247557,
絲蟌科,青紋絲蟌,58290,2019-12-17,10:00:00,macintosh,南投縣,仁愛鄉,奧萬大,1273,23.95315710235409,121.17982580390014,
絲蟌科,青紋絲蟌,54525,2019-09-20,20:00:00,regina,南投縣,竹山鎮,杉林溪生態池,,,,
絲蟌科,青紋絲蟌,54179,2019-09-17,10:30:00,jerry9207,新竹縣,五峰鄉,觀霧遊客中心,2102,24.505835132044897,121.11369967460632,
絲蟌科,青紋絲蟌,51495,2019-07-15,13:23:00,tasmanliu,宜蘭縣,大同鄉,翠峰林道6.2K,0,,,
絲蟌科,青紋絲蟌,51303,2019-07-14,11:30:00,Jasonlin,宜蘭縣,南澳鄉,平元林道6.2公里,,,,
絲蟌科,青紋絲蟌,51325,2019-07-14,11:15:00,cclin,宜蘭縣,南澳鄉,平元林道,1996,24.498083569579247,121.56947135925293,
絲蟌科,青紋絲蟌,51540,2019-07-13,07:21:00,regina,南投縣,竹山鎮,杉林溪生態池,,,,
絲蟌科,青紋絲蟌,50195,2019-06-20,16:10:00,skink,宜蘭縣,大同鄉,明池山莊停車場攔砂壩,1184,24.653643047412448,121.47023499011993,
絲蟌科,青紋絲蟌,49950,2019-06-15,09:00:00,regina,南投縣,竹山鎮,杉林溪生態池,,,,
絲蟌科,青紋絲蟌,49649,2019-06-08,08:30:00,regina,南投縣,竹山鎮,杉林溪生態池,,,,
絲蟌科,青紋絲蟌,48868,2019-05-26,11:09:00,tasmanliu,高雄市,桃源區,藤枝,0,,,
絲蟌科,青紋絲蟌,48039,2019-05-11,11:32:00,regina,南投縣,竹山鎮,杉林溪藥花園,,,,
絲蟌科,青紋絲蟌,48180,2019-05-11,13:00:00,jameshou,苗栗縣,泰安鄉,雪霸國家管理局觀霧休憩區,2091,24.505893706264036,121.11413955688477,
絲蟌科,青紋絲蟌,47376,2019-04-25,10:32:00,jung2177,台中市,和平區,福壽山農場藍茵湖,,,,
絲蟌科,青紋絲蟌,46601,2019-04-04,10:00:00,waiting,台中市,和平區,松鶴德芙蘭步道,687,24.177569018451162,120.97663879394531,
絲蟌科,青紋絲蟌,46202,2019-03-27,10:03:00,tasmanliu,高雄市,桃源區,藤枝,0,,,
絲蟌科,青紋絲蟌,45308,2019-03-02,10:00:00,fernslu,花蓮縣,光復鄉,光復林道,787,23.669717906191977,121.375546489302,
絲蟌科,青紋絲蟌,49910,2019-03-02,09:39:00,yosi,新竹縣,尖石鄉,萬里山園,0,,,
絲蟌科,青紋絲蟌,45036,2019-02-23,11:53:00,skink,台中市,和平區,武陵農場臺灣櫻花鉤吻鮭生態中心,1730,24.354153956523596,121.31305191668162,
絲蟌科,青紋絲蟌,45081,2019-02-23,12:25:00,skink,台中市,和平區,武陵農場武陵富野度假村沉砂池,1739,24.352848062104975,121.30924837580096,
絲蟌科,青紋絲蟌,42780,2018-12-23,11:00:00,Leo,高雄市,桃源區,櫻花公園,1475,23.05949949180165,120.73112839603425,
絲蟌科,青紋絲蟌,42777,2018-12-23,11:00:00,Leo,高雄市,桃源區,櫻花公園,302,22.891614657498202,120.6664252281189,
絲蟌科,青紋絲蟌,42180,2018-11-25,11:00:00,吳登立,雲林縣,古坑鄉,石壁山區,1622,23.616835330927337,120.70571959018707,
絲蟌科,青紋絲蟌,42356,2018-11-25,11:12:00,王振芳,雲林縣,古坑鄉,石壁五元二角,1567,23.62400834148309,120.71409973677066,
絲蟌科,青紋絲蟌,40728,2018-10-09,08:40:00,skink,台中市,和平區,大雪山國家森林遊樂區雪山莊,2241,24.25616699436766,121.00693166255951,
絲蟌科,青紋絲蟌,40731,2018-10-09,13:45:00,skink,台中市,和平區,大雪山國家森林遊樂區雪山莊,2240,24.255831485112445,121.00691070780158,
絲蟌科,青紋絲蟌,40721,2018-10-08,10:40:00,skink,苗栗縣,泰安鄉,雪霸國家公園觀霧山椒魚生態中心,2094,24.50669129244961,121.11422298653156,
絲蟌科,青紋絲蟌,40083,2018-09-29,11:40:00,skink,南投縣,竹山鎮,忘憂森林,1974,23.648813735733103,120.79440052571363,
絲蟌科,青紋絲蟌,40054,2018-09-27,09:55:00,skink,嘉義縣,阿里山鄉,阿里山森林遊樂區妹潭,2269,23.51856749578822,120.81460480504666,
絲蟌科,青紋絲蟌,40056,2018-09-27,10:11:00,skink,嘉義縣,阿里山鄉,阿里山森林遊樂區姐潭,2262,23.519165470448367,120.81394498104578,
絲蟌科,青紋絲蟌,40062,2018-09-27,12:53:00,skink,嘉義縣,阿里山鄉,阿里山森林遊樂區受鎮宮,2205,23.5176404695857,120.81065225504756,
絲蟌科,青紋絲蟌,39752,2018-09-02,11:08:00,王振芳,南投縣,鹿谷鄉,杉林溪,1670,23.634878796684678,120.78976239627991,
絲蟌科,青紋絲蟌,38372,2018-08-13,10:50:00,skink,宜蘭縣,南澳鄉,平元林道6.2公里,2000,24.497401854537635,121.56820327159949,
絲蟌科,青紋絲蟌,46167,2018-08-04,09:00:00,regina,南投縣,竹山鎮,杉林溪穿林棧道生態池,,,,
絲蟌科,青紋絲蟌,37407,2018-07-21,09:54:00,ying-o hsiung,苗栗縣,泰安鄉,觀霧山椒魚生態中心,2096,24.506655168628793,121.11443996429443,
絲蟌科,青紋絲蟌,37236,2018-07-19,11:30:00,liou5417,南投縣,仁愛鄉,屯原,,,,
絲蟌科,青紋絲蟌,37234,2018-07-18,12:00:00,liou5417,宜蘭縣,大同鄉,思源啞口涼亭,,,,
絲蟌科,青紋絲蟌,36848,2018-07-12,10:45:00,cgwn,新竹縣,芎林鄉,飛鳳山,435,24.766456648261848,121.11905915339617,
絲蟌科,青紋絲蟌,36892,2018-07-09,11:00:00,liou5417,桃園市,復興區,明池,,,,
絲蟌科,青紋絲蟌,46166,2018-07-07,09:00:00,regina,南投縣,竹山鎮,杉林溪穿林棧道生態池,,,,
絲蟌科,青紋絲蟌,36745,2018-07-01,07:26:00,lyajhoo,新竹縣,尖石鄉,鴛鴦湖,1688,24.577082213851195,121.40264498563613,
絲蟌科,青紋絲蟌,46165,2018-06-30,09:40:00,regina,南投縣,竹山鎮,杉林溪穿林棧道生態池,,,,
絲蟌科,青紋絲蟌,36189,2018-06-24,12:00:00,jung2177,新竹縣,五峰鄉,大鹿林道16K左右,,,,
絲蟌科,青紋絲蟌,36012,2018-06-20,13:18:00,ying-o hsiung,新竹縣,峨眉鄉,七星村石硬子,162,24.66063971452049,121.03420393161218,
絲蟌科,青紋絲蟌,35623,2018-06-10,10:00:00,ysc3679,苗栗縣,泰安鄉,觀霧,2096,24.506655168628793,121.11443996429443,
絲蟌科,青紋絲蟌,46164,2018-06-10,09:40:00,regina,南投縣,竹山鎮,杉林溪穿林棧道生態池,,,,
絲蟌科,青紋絲蟌,46163,2018-06-08,09:00:00,regina,南投縣,竹山鎮,杉林溪穿林棧道生態池,,,,
絲蟌科,青紋絲蟌,35531,2018-06-05,12:05:00,江上飄,宜蘭縣,大同鄉,明池(停車場上方),1137,24.64786721982768,121.47756099351682,
絲蟌科,青紋絲蟌,35465,2018-05-30,12:29:00,jung2177,台中市,和平區,福壽山農場天池,,,,
絲蟌科,青紋絲蟌,35212,2018-05-29,12:27:00,jung2177,台中市,和平區,福壽山農場天池,,,,
絲蟌科,青紋絲蟌,34677,2018-05-12,09:00:00,hsulan,宜蘭縣,大同鄉,明池山莊停車場,1172,24.65331639319516,121.46992921829224,
絲蟌科,青紋絲蟌,34265,2018-05-11,12:21:00,cclin,桃園市,復興區,中巴陵,764,24.680844112330448,121.38699770272456,
絲蟌科,青紋絲蟌,34002,2018-05-06,11:39:00,neo,宜蘭縣,南澳鄉,平元林道3k,1989,24.49870029626329,121.5532879871771,
絲蟌科,青紋絲蟌,34041,2018-05-06,13:03:00,jameshou,新竹縣,五峰鄉,新竹縣五峰鄉土場,728,24.566171762905668,121.0919137949677,
絲蟌科,青紋絲蟌,34005,2018-04-29,06:50:00,ying-o hsiung,苗栗縣,泰安鄉,觀霧山椒魚生態中心,2093,24.507297495599005,121.11442166829965,
絲蟌科,青紋絲蟌,33690,2018-04-28,09:43:00,jung2177,台中市,和平區,福壽山農場藍茵湖,,,,
絲蟌科,青紋絲蟌,33717,2018-04-28,13:25:00,ying-o hsiung,苗栗縣,泰安鄉,觀霧山椒魚生態中心,2094,24.507235016890448,121.11442166829965,
絲蟌科,青紋絲蟌,46159,2018-04-14,09:00:00,regina,南投縣,竹山鎮,杉林溪穿林棧道生態池,,,,
絲蟌科,青紋絲蟌,32994,2018-04-06,12:00:00,簡庭威,南投縣,竹山鎮,杉林溪森林生態渡假園區,1696,23.63680524474067,120.79283084339295,
絲蟌科,青紋絲蟌,32800,2018-03-28,11:03:00,ying-o hsiung,新竹縣,峨眉鄉,七星村石硬子,159,24.661165970051975,121.03478547311863,
絲蟌科,青紋絲蟌,32785,2018-03-27,12:14:00,ying-o hsiung,新竹縣,峨眉鄉,七星村石硬子,159,24.661130361677518,121.03477047831995,
絲蟌科,青紋絲蟌,32759,2018-03-26,13:14:00,ying-o hsiung,新竹縣,峨眉鄉,七星村石硬子,159,24.66123384635197,121.03474145951861,
絲蟌科,青紋絲蟌,32780,2018-03-26,09:35:00,lyajhoo,宜蘭縣,大同鄉,明池森林遊樂區停車場,1195,24.653967833552397,121.4700293957003,
絲蟌科,青紋絲蟌,35188,2018-03-26,10:00:00,q364411,苗栗縣,泰安鄉,我烏石坑,,,,
絲蟌科,青紋絲蟌,32735,2018-03-25,12:23:00,ying-o hsiung,新竹縣,峨眉鄉,七星村石硬子,159,24.661233846054397,121.0346899612365,
絲蟌科,青紋絲蟌,32700,2018-03-23,12:07:00,ying-o hsiung,新竹縣,峨眉鄉,七星村石硬子,159,24.661208789027895,121.03472669082214,
絲蟌科,青紋絲蟌,32672,2018-03-22,12:55:00,ying-o hsiung,新竹縣,峨眉鄉,七星村石硬子,158,24.661285139232838,121.03474986144306,
絲蟌科,青紋絲蟌,32541,2018-03-19,09:40:00,Leo,宜蘭縣,大同鄉,明池山莊,1188,24.65377273378628,121.47037714719772,
絲蟌科,青紋絲蟌,32542,2018-03-19,10:30:00,Leo,宜蘭縣,大同鄉,明池森林遊樂區,1160,24.65072419297627,121.4731468738047,
絲蟌科,青紋絲蟌,32554,2018-03-19,12:40:00,ying-o hsiung,新竹縣,峨眉鄉,七星村石硬子,159,24.661230328607427,121.03470644416461,
絲蟌科,青紋絲蟌,32544,2018-03-18,13:26:00,ying-o hsiung,新竹縣,峨眉鄉,七星村石硬子,159,24.66131465837044,121.03467070929264,
絲蟌科,青紋絲蟌,32514,2018-03-17,15:07:00,ying-o hsiung,新竹縣,峨眉鄉,七星村石硬子,159,24.661155787670477,121.03474160586097,
絲蟌科,青紋絲蟌,32461,2018-03-15,12:29:00,ying-o hsiung,新竹縣,峨眉鄉,七星村石硬子,159,24.66114018687644,121.03476601326053,
絲蟌科,青紋絲蟌,32393,2018-03-14,12:28:00,ying-o hsiung,新竹縣,峨眉鄉,七星村石硬子,159,24.661186988360064,121.03472331681485,
絲蟌科,青紋絲蟌,32370,2018-03-13,12:23:00,ying-o hsiung,新竹縣,峨眉鄉,七星村石硬子,158,24.66124585821602,121.03475266238934,
絲蟌科,青紋絲蟌,32278,2018-03-12,12:15:00,Leo,宜蘭縣,大同鄉,明池山莊,1188,24.65377273378628,121.47037714719772,
絲蟌科,青紋絲蟌,32297,2018-03-12,12:08:00,ying-o hsiung,新竹縣,峨眉鄉,七星村石硬子,159,24.66122817249152,121.03468465267383,
絲蟌科,青紋絲蟌,32293,2018-03-11,13:04:00,ying-o hsiung,新竹縣,峨眉鄉,七星村石硬子,159,24.66125937346054,121.03470181854959,
絲蟌科,青紋絲蟌,32255,2018-03-10,14:50:00,ying-o hsiung,新竹縣,峨眉鄉,七星村石硬子,159,24.66113891410962,121.0347469982355,
絲蟌科,青紋絲蟌,32169,2018-03-07,11:57:00,ying-o hsiung,新竹縣,峨眉鄉,七星村石硬子,159,24.661218189636933,121.03468018306319,
絲蟌科,青紋絲蟌,32135,2018-03-06,12:19:00,ying-o hsiung,新竹縣,寶山鄉,七星村石硬子,159,24.661249390310896,121.03464986059293,
絲蟌科,青紋絲蟌,32117,2018-03-05,11:24:00,ying-o hsiung,新竹縣,峨眉鄉,七星村石硬子,159,24.661218189339386,121.03476317414197,
絲蟌科,青紋絲蟌,32120,2018-03-04,12:00:00,jameshou,新竹縣,尖石鄉,萬里山園附近,1511,24.694357773194362,121.31563495952446,
絲蟌科,青紋絲蟌,32121,2018-03-04,11:00:00,jameshou,新竹縣,尖石鄉,萬里山園附近,1504,24.69423105333236,121.31548475581963,
絲蟌科,青紋絲蟌,32038,2018-03-03,14:02:00,ying-o hsiung,新竹縣,峨眉鄉,七星村石硬子,159,24.661202588850702,121.03471451481471,
絲蟌科,青紋絲蟌,31985,2018-03-02,10:30:00,Leo,宜蘭縣,大同鄉,明池山莊,1188,24.65377273378628,121.47037714719772,
絲蟌科,青紋絲蟌,32015,2018-03-02,13:09:00,ying-o hsiung,新竹縣,峨眉鄉,七星村石硬子,159,24.66124939001335,121.03469734910266,
絲蟌科,青紋絲蟌,31934,2018-03-01,12:30:00,Leo,宜蘭縣,大同鄉,明池山莊,1188,24.65377273378628,121.47037714719772,
絲蟌科,青紋絲蟌,32492,2018-02-26,11:11:00,chuf,台中市,和平區,武陵農場,,,,
絲蟌科,青紋絲蟌,31826,2018-02-20,09:14:00,ying-o hsiung,桃園市,復興區,東眼山森林遊樂區,897,24.830186569296724,121.40889901680634,
絲蟌科,青紋絲蟌,31786,2018-02-19,12:02:00,ying-o hsiung,新竹縣,峨眉鄉,七星村石硬子,158,24.661374628066227,121.03473134112073,
絲蟌科,青紋絲蟌,31756,2018-02-18,13:03:00,ying-o hsiung,桃園市,復興區,東眼山森林遊樂區,901,24.830133230593393,121.40907067752846,
絲蟌科,青紋絲蟌,31743,2018-02-14,11:40:00,Leo,宜蘭縣,大同鄉,明池山莊,1188,24.65377273378628,121.47037714719772,
絲蟌科,青紋絲蟌,31285,2018-01-17,10:15:00,Leo,宜蘭縣,大同鄉,明池山莊,1188,24.65377273378628,121.47037714719772,
絲蟌科,青紋絲蟌,30754,2017-11-30,11:43:00,tasmanliu,雲林縣,古坑鄉,草嶺,0,,,
絲蟌科,青紋絲蟌,30687,2017-11-29,08:30:00,Leo,宜蘭縣,大同鄉,明池山莊,1188,24.65377273378628,121.47037714719772,
絲蟌科,青紋絲蟌,30317,2017-11-17,12:20:00,Leo,宜蘭縣,大同鄉,明池山莊,1188,24.65377273378628,121.47037714719772,
絲蟌科,青紋絲蟌,30041,2017-11-11,11:50:50,tasmanliu,嘉義縣,阿里山鄉,阿里山,,,,
絲蟌科,青紋絲蟌,30044,2017-11-11,11:41:40,tasmanliu,嘉義縣,阿里山鄉,阿里山,0,,,
絲蟌科,青紋絲蟌,30040,2017-11-10,11:20:20,tasmanliu,嘉義縣,阿里山鄉,阿里山,,,,
絲蟌科,青紋絲蟌,27963,2017-10-02,09:38:00,Tyus Ma,宜蘭縣,大同鄉,明池山莊,1172,24.65331639319516,121.46992921829224,
絲蟌科,青紋絲蟌,27964,2017-10-01,10:00:00,Leo,宜蘭縣,大同鄉,明池山莊,1188,24.65377273378628,121.47037714719772,
絲蟌科,青紋絲蟌,27904,2017-09-30,08:10:35,Tyus Ma,苗栗縣,泰安鄉,觀霧,2096,24.506655168628793,121.11443996429443,
絲蟌科,青紋絲蟌,27817,2017-09-28,10:00:00,Leo,宜蘭縣,大同鄉,明池山莊,1188,24.65377273378628,121.47037714719772,
絲蟌科,青紋絲蟌,27730,2017-09-26,10:30:00,Leo,宜蘭縣,大同鄉,明池山莊,1188,24.65377273378628,121.47037714719772,
絲蟌科,青紋絲蟌,27646,2017-09-25,10:00:00,Leo,宜蘭縣,大同鄉,明池山莊,1188,24.65377273378628,121.47037714719772,
絲蟌科,青紋絲蟌,29163,2017-09-24,10:30:00,hsulan,宜蘭縣,大同鄉,明池,0,,,
絲蟌科,青紋絲蟌,27882,2017-09-23,09:15:00,趙偉凱,宜蘭縣,大同鄉,明池山莊,1186,24.653703990268834,121.47036641836166,
絲蟌科,青紋絲蟌,27884,2017-09-23,09:15:00,趙偉凱,宜蘭縣,大同鄉,明池山莊,1186,24.653703990268834,121.47036641836166,
絲蟌科,青紋絲蟌,27426,2017-09-22,10:40:00,Leo,宜蘭縣,大同鄉,明池山莊,1188,24.65377273378628,121.47037714719772,
絲蟌科,青紋絲蟌,27421,2017-09-21,10:00:00,Leo,宜蘭縣,大同鄉,明池山莊,1188,24.65377273378628,121.47037714719772,
絲蟌科,青紋絲蟌,27134,2017-09-16,09:52:51,Tyus Ma,宜蘭縣,大同鄉,明池山莊,1172,24.65331639319516,121.46992921829224,
絲蟌科,青紋絲蟌,27082,2017-09-15,10:30:00,Leo,宜蘭縣,大同鄉,明池山莊,1188,24.65377273378628,121.47037714719772,
絲蟌科,青紋絲蟌,26970,2017-09-12,10:00:00,Leo,宜蘭縣,大同鄉,明池山莊,1188,24.65377273378628,121.47037714719772,
絲蟌科,青紋絲蟌,26868,2017-09-11,11:15:00,Leo,宜蘭縣,大同鄉,明池山莊,1188,24.65377273378628,121.47037714719772,
絲蟌科,青紋絲蟌,26820,2017-09-09,09:45:00,Leo,宜蘭縣,大同鄉,明池山莊,1188,24.65377273378628,121.47037714719772,
絲蟌科,青紋絲蟌,26425,2017-08-28,10:30:00,Leo,宜蘭縣,大同鄉,明池山莊,1188,24.65377273378628,121.47037714719772,
絲蟌科,青紋絲蟌,26419,2017-08-27,10:35:00,Leo,宜蘭縣,大同鄉,明池山莊,1188,24.65377273378628,121.47037714719772,
絲蟌科,青紋絲蟌,25849,2017-08-17,10:00:00,Leo,宜蘭縣,大同鄉,明池山莊,1188,24.65377273378628,121.47037714719772,
絲蟌科,青紋絲蟌,25658,2017-08-13,09:30:00,allenhu1999925,宜蘭縣,大同鄉,北橫 64k,0,,,
絲蟌科,青紋絲蟌,25666,2017-08-13,10:40:00,allenhu1999925,宜蘭縣,大同鄉,明池山莊,1172,24.65331639319516,121.46992921829224,
絲蟌科,青紋絲蟌,25677,2017-08-13,11:30:00,allenhu1999925,宜蘭縣,大同鄉,北橫 67k,0,,,
絲蟌科,青紋絲蟌,29442,2017-08-13,11:14:00,江上飄,新竹縣,尖石鄉,尖石與宜蘭大同交界,1707,24.576493256778263,121.40443324693478,
絲蟌科,青紋絲蟌,25566,2017-08-12,08:39:49,Tyus Ma,宜蘭縣,大同鄉,明池山莊,1172,24.65331639319516,121.46992921829224,
絲蟌科,青紋絲蟌,25619,2017-08-12,13:20:00,趙偉凱,宜蘭縣,大同鄉,明池山莊,,,,
絲蟌科,青紋絲蟌,25453,2017-08-10,11:30:00,Leo,宜蘭縣,大同鄉,明池山莊,1188,24.65377273378628,121.47037714719772,
絲蟌科,青紋絲蟌,25416,2017-08-09,09:10:00,Leo,宜蘭縣,大同鄉,明池山莊,1188,24.65377273378628,121.47037714719772,
絲蟌科,青紋絲蟌,24654,2017-07-23,11:00:00,skink,宜蘭縣,南澳鄉,平元林道6.2公里,2000,24.497401854537635,121.56820327159949,
