Species Family,Species,ID,Date,Time,User,City,District,Place,Altitude,Latitude,Longitude,Description
細蟌科,藍彩細蟌,13320,2016-06-04,12:10:00,skink,宜蘭縣,員山鄉,草埤,806,24.767354428741168,121.60788595676422,
細蟌科,藍彩細蟌,13140,2016-05-31,10:07:00,江上飄,宜蘭縣,員山鄉,草埤,808,24.767300847959106,121.60796642303467,
細蟌科,藍彩細蟌,12995,2016-05-25,11:06:00,江上飄,宜蘭縣,員山鄉,草埤,808,24.767300847959106,121.60796642303467,
細蟌科,藍彩細蟌,12626,2016-05-04,11:16:00,椿捲龍,宜蘭縣,員山鄉,草埤,816,24.766589682661976,121.60744071006775,
細蟌科,藍彩細蟌,10241,2015-07-29,11:00:00,yangda,宜蘭縣,員山鄉,草埤,816,24.766571044747824,121.60739675091463,
細蟌科,藍彩細蟌,10329,2015-07-29,10:00:00,colorful_yuan,宜蘭縣,員山鄉,草埤,723,24.759803791803357,121.59582138061523,
細蟌科,藍彩細蟌,11557,2015-07-23,12:00:00,twingo49,宜蘭縣,員山鄉,草埤,744,24.76616103311853,121.59968376159668,
細蟌科,藍彩細蟌,10177,2015-07-18,15:00:00,tombosan,宜蘭縣,員山鄉,崩山湖濕地,519,24.77530448892473,121.66929958455512,
細蟌科,藍彩細蟌,10110,2015-07-17,07:40:00,趙偉凱,宜蘭縣,員山鄉,雙連埤,479,24.749639105799712,121.6372326016608,
細蟌科,藍彩細蟌,9866,2015-06-29,11:00:00,yangda,宜蘭縣,員山鄉,草埤,791,24.55007041225918,121.51312351226807,
細蟌科,藍彩細蟌,9922,2015-06-29,11:06:00,江上飄,宜蘭縣,員山鄉,草埤,808,24.767300847959106,121.60796642303467,
細蟌科,藍彩細蟌,9939,2015-06-29,10:00:00,colorful_yuan,宜蘭縣,員山鄉,草埤,723,24.759803791803357,121.59582138061523,
細蟌科,藍彩細蟌,38823,2015-06-29,11:00:00,Tyus Ma,宜蘭縣,員山鄉,阿玉林道至草埤,732,24.764152413474974,121.60954263501901,
細蟌科,藍彩細蟌,9855,2015-06-24,11:13:00,江上飄,宜蘭縣,員山鄉,草埤,808,24.767300847959106,121.60796642303467,
細蟌科,藍彩細蟌,9773,2015-06-16,08:00:00,kss5802,宜蘭縣,員山鄉,草埤,816,24.76657104534241,121.60738602207857,
細蟌科,藍彩細蟌,9626,2015-06-04,11:50:00,skink,宜蘭縣,員山鄉,草埤,816,24.766599424679846,121.60738170146942,
細蟌科,藍彩細蟌,8277,2014-10-27,13:00:00,jung2177,屏東縣,牡丹鄉,東源水上草原,303,22.20226607443631,120.85458755493164,
細蟌科,藍彩細蟌,7639,2014-09-30,15:30:00,jung2177,屏東縣,牡丹鄉,東源水上草原,294,22.198948295204193,120.8498615026474,
細蟌科,藍彩細蟌,7145,2014-08-18,11:00:00,wubird,屏東縣,牡丹鄉,東源水上草原,304,22.201353065091997,120.8554340898263,
細蟌科,藍彩細蟌,8298,2014-07-19,10:00:00,twingo49,宜蘭縣,員山鄉,草埤,744,24.76616103311853,121.59968376159668,
細蟌科,藍彩細蟌,8414,2014-07-19,11:30:00,suedechen,宜蘭縣,員山鄉, 阿玉山林道至草埤,,,,
細蟌科,藍彩細蟌,6793,2014-07-17,08:20:00,趙偉凱,宜蘭縣,員山鄉,雙連埤,470,24.74902358179517,121.6382646560669,
細蟌科,藍彩細蟌,6756,2014-07-13,07:00:00,lmk620721,宜蘭縣,員山鄉,草埤,836,24.7850591754444,121.6152834892273,
細蟌科,藍彩細蟌,6522,2014-06-22,07:00:00,lmk620721,宜蘭縣,員山鄉,草埤,836,24.7850591754444,121.6152834892273,
細蟌科,藍彩細蟌,6079,2014-05-11,07:43:00,gekko,屏東縣,牡丹鄉,東源水上草原,290,22.199181734331095,120.84965765476227,
細蟌科,藍彩細蟌,6077,2014-05-10,14:20:00,gekko,屏東縣,牡丹鄉,東源水上草原+周邊產業道路,289,22.199464840836534,120.84975957870483,
細蟌科,藍彩細蟌,6078,2014-05-10,16:00:00,jung2177,屏東縣,牡丹鄉,東源水上草原,323,22.197736392222808,120.84982395172119,
細蟌科,藍彩細蟌,5457,2014-04-15,13:00:00,jung2177,屏東縣,牡丹鄉,東源水上草原,323,22.197776126912657,120.84986686706543,
細蟌科,藍彩細蟌,180,2013-11-06,12:30:00,jung2177,屏東縣,牡丹鄉,東源水上草原,292,22.203775936030294,120.85132598876953,
細蟌科,藍彩細蟌,102,2013-10-18,14:00:00,jung2177,屏東縣,牡丹鄉,東源水上草原,310,22.19805426942664,120.84945917129517,
細蟌科,藍彩細蟌,1687,2013-10-18,12:00:00,jung2177,屏東縣,牡丹鄉,東源水上草原,203,22.530316776410345,120.662841796875,
細蟌科,藍彩細蟌,1695,2013-09-07,13:00:00,jung2177,屏東縣,牡丹鄉,東源水上草原,296,22.198908560846075,120.85008144378662,
細蟌科,藍彩細蟌,527,2013-08-11,09:00:00,neo,宜蘭縣,員山鄉,阿玉山林道至草埤,586,24.757977439942415,121.61397457122803,
細蟌科,藍彩細蟌,528,2013-08-11,14:00:00,neo,宜蘭縣,員山鄉,雙連埤環湖道路,478,24.750105094020803,121.64045333862305,
細蟌科,藍彩細蟌,517,2013-08-04,15:00:00,neo,宜蘭縣,員山鄉,雙連埤環湖道路,478,24.749286653202716,121.64049625396729,
細蟌科,藍彩細蟌,2209,2013-07-04,13:30:00,jung2177,屏東縣,牡丹鄉,東源水上草原,313,22.198074136727985,120.8497166633606,
細蟌科,藍彩細蟌,576,2013-05-22,10:00:00,neo,宜蘭縣,員山鄉,阿玉山林道至草埤,590,24.75825023506766,121.61380290985107,
細蟌科,藍彩細蟌,3666,2013-05-22,09:15:00,江上飄,宜蘭縣,員山鄉,草埤,808,24.767300847959106,121.60796642303467,
細蟌科,藍彩細蟌,1763,2013-05-04,09:00:00,joanne,屏東縣,滿州鄉,港仔山,365,22.142023019912454,120.85545967517646,
細蟌科,藍彩細蟌,3648,2013-05-04,15:06:00,江上飄,屏東縣,牡丹鄉,東源水上草原,312,22.1979847338498,120.84946990013123,
細蟌科,藍彩細蟌,3189,2013-03-30,12:30:00,jung2177,屏東縣,牡丹鄉,東源水上草原,311,22.197994667505746,120.8494484424591,
細蟌科,藍彩細蟌,3165,2012-07-14,10:16:13,江上飄,屏東縣,牡丹鄉,東源水上草原,312,22.1979847338498,120.84946990013122,
細蟌科,藍彩細蟌,7811,2012-07-14,12:00:00,yangda,屏東縣,牡丹鄉,東源水上草原,,,,
細蟌科,藍彩細蟌,1156,2012-05-30,10:00:00,neo,宜蘭縣,員山鄉,阿玉山林道至草埤,587,24.758094352212318,121.61375999450684,
細蟌科,藍彩細蟌,3114,2012-05-07,09:18:13,江上飄,屏東縣,牡丹鄉,東源水上草原,312,22.19799590921269,120.84947928786278,
細蟌科,藍彩細蟌,2937,2011-11-07,09:12:00,江上飄,屏東縣,牡丹鄉,東源水上草原,312,22.1979847338498,120.84946990013122,
細蟌科,藍彩細蟌,2805,2011-07-27,11:04:00,江上飄,屏東縣,牡丹鄉,東源水上草原,312,22.1979847338498,120.84946990013122,
細蟌科,藍彩細蟌,2718,2011-05-30,09:17:00,江上飄,屏東縣,牡丹鄉,東源水上草原,312,22.1979847338498,120.84946990013122,
細蟌科,藍彩細蟌,32286,2010-09-11,10:19:00,fisher1952,宜蘭縣,員山鄉,草埤,755,24.775483826799423,121.61657094955444,
細蟌科,藍彩細蟌,2211,2010-06-17,11:18:00,江上飄,宜蘭縣,員山鄉,草埤,804,24.76733981580291,121.60776257514954,
細蟌科,藍彩細蟌,2122,2010-05-06,14:49:00,江上飄,屏東縣,牡丹鄉,東源水上草原,312,22.1979847338498,120.84946990013122,
細蟌科,藍彩細蟌,6011,2009-06-30,11:00:00,fusowshu,宜蘭縣,員山鄉,草埤,806,24.767354428741168,121.60788595676422,
細蟌科,藍彩細蟌,8205,2008-05-05,08:00:00,sibia_tsai,屏東縣,牡丹鄉,東源水上草原,305,22.20143068263058,120.85540395230055,
細蟌科,藍彩細蟌,8911,2007-08-04,10:00:00,icemoon,宜蘭縣,員山鄉,草埤,806,24.767354428741168,121.60788595676422,
細蟌科,藍彩細蟌,5351,2004-06-13,08:37:00,mhtsou,宜蘭縣,員山鄉,草埤,806,24.768050976804332,121.60815954208374,
細蟌科,藍彩細蟌,2147,2002-08-24,13:00:00,mhtsou,宜蘭縣,員山鄉,草埤,809,24.76816787959287,121.60842776298523,
